Place	State	Latitude	Longitude
Haleburg 	AL	31.410858	-85.138674
Haleyville 	AL	34.238792	-87.618201
Hamilton 	AL	34.140314	-87.982764
Hammondville 	AL	34.56933	-85.638339
Hanceville 	AL	34.064911	-86.763469
Harpersville 	AL	33.341799	-86.432691
Hartford 	AL	31.105115	-85.691343
Hartselle 	AL	34.436916	-86.939815
Harvest 	AL	34.855619	-86.749894
Hayden 	AL	33.895328	-86.754358
Hayneville 	AL	32.182473	-86.578835
Hazel Green 	AL	34.923624	-86.567213
Headland 	AL	31.351932	-85.343253
Heath 	AL	31.355101	-86.466878
Heflin 	AL	33.646285	-85.586732
Helena 	AL	33.289736	-86.852423
Henagar 	AL	34.633923	-85.737447
Highland Lake 	AL	33.889234	-86.423815
Hillsboro 	AL	34.636721	-87.184584
Hobson City 	AL	33.617033	-85.851727
Hodges 	AL	34.327387	-87.926532
Hokes Bluff 	AL	33.98965	-85.86297
Holly Pond 	AL	34.174561	-86.617011
Hollywood 	AL	34.716877	-85.965711
Holt 	AL	33.22955	-87.480949
Homewood 	AL	33.4648	-86.806999
Hoover 	AL	33.375332	-86.819037
Hueytown 	AL	33.4376	-86.997586
Huguley 	AL	32.843119	-85.240673
Huntsville 	AL	34.707048	-86.627723
Hurtsboro 	AL	32.239942	-85.414371
Ider 	AL	34.700676	-85.666937
Inverness 	AL	33.404139	-86.722944
Irondale 	AL	33.532317	-86.676303
Jackson 	AL	31.53254	-87.893012
Jacksons' Gap 	AL	32.884143	-85.816998
Jacksonville 	AL	33.81065	-85.760774
Jasper 	AL	33.852042	-87.270067
Jemison 	AL	32.964998	-86.744068
Kansas 	AL	33.901778	-87.553343
Kennedy 	AL	33.581421	-87.985506
Killen 	AL	34.861501	-87.529349
Kimberly 	AL	33.768213	-86.804802
Kinsey 	AL	31.297409	-85.335936
Kinston 	AL	31.219426	-86.169941
Ladonia 	AL	32.462379	-85.086805
Lafayette 	AL	32.899542	-85.400846
Lake Purdy 	AL	33.429931	-86.680504
Lakeview 	AL	34.392209	-85.97327
Lanett 	AL	32.866205	-85.205117
Langston 	AL	34.534187	-86.092361
Leeds 	AL	33.545976	-86.562745
Leesburg 	AL	34.178976	-85.769101
Leighton 	AL	34.699553	-87.530673
Lester 	AL	34.984221	-87.147896
Level Plains 	AL	31.306357	-85.766718
Lexington 	AL	34.966032	-87.372872
Libertyville 	AL	31.243672	-86.460007
Lincoln 	AL	33.59801	-86.139391
Linden 	AL	32.301011	-87.792706
Lineville 	AL	33.312421	-85.752616
Lipscomb 	AL	33.4261	-86.925422
Lisman 	AL	32.169306	-88.288072
Littleville 	AL	34.595005	-87.674038
Livingston 	AL	32.59881	-88.187144
Loachapoka 	AL	32.604706	-85.596938
Lockhart 	AL	31.012731	-86.350243
Locust Fork 	AL	33.90265	-86.621682
Louisville 	AL	31.781088	-85.558042
Lowndesboro 	AL	32.276737	-86.610257
Loxley 	AL	30.627129	-87.756379
Luverne 	AL	31.707854	-86.261088
Lynn 	AL	34.043769	-87.546695
Madison 	AL	34.702904	-86.749679
Madrid 	AL	31.035769	-85.397282
Malvern 	AL	31.135872	-85.51944
Maplesville 	AL	32.785716	-86.878395
Margaret 	AL	33.687702	-86.47466
Marion 	AL	32.631553	-87.317598
Maytown 	AL	33.551128	-86.995717
McIntosh 	AL	31.264812	-88.027882
McKenzie 	AL	31.543754	-86.716532
McMullen 	AL	33.147105	-88.176123
Meadowbrook 	AL	33.401928	-86.696801
Memphis 	AL	33.138332	-88.301314
Mentone 	AL	34.568309	-85.582702
Meridianville 	AL	34.87376	-86.570935
Midfield 	AL	33.4541	-86.922808
Midland City 	AL	31.316275	-85.493382
Midway 	AL	32.074296	-85.520286
Mignon 	AL	33.194043	-86.264008
Millbrook 	AL	32.4946	-86.367721
Millport 	AL	33.559467	-88.081194
Millry 	AL	31.625865	-88.316669
Minor 	AL	33.5253	-86.947612
Mobile 	AL	30.67745	-88.088959
Monroeville 	AL	31.516885	-87.327813
Montevallo 	AL	33.109251	-86.851224
Montgomery 	AL	32.3544	-86.284287
Moody 	AL	33.596934	-86.494628
Moores Mill 	AL	34.851888	-86.525755
Mooresville 	AL	34.626832	-86.879986
Morris 	AL	33.749733	-86.80534
Mosses 	AL	32.176151	-86.674589
Moulton 	AL	34.483899	-87.281139
Moundville 	AL	32.995882	-87.63066
Mount Vernon 	AL	31.091175	-88.011747
Mountain Brook 	AL	33.486867	-86.740477
Mountainboro 	AL	34.14771	-86.131208
Mulga 	AL	33.546587	-86.975349
Muscle Shoals 	AL	34.747117	-87.642039
Myrtlewood 	AL	32.247111	-87.947127
Napier Field 	AL	31.315115	-85.455306
Nauvoo 	AL	33.988466	-87.4878
Nectar 	AL	33.969026	-86.636264
Needham 	AL	31.986189	-88.338772
New Brockton 	AL	31.38097	-85.924398
New Hope 	AL	34.53914	-86.415896
New Market 	AL	34.909465	-86.425117
New Site 	AL	33.035225	-85.775012
Newbern 	AL	32.591251	-87.535972
Newton 	AL	31.339126	-85.588578
Newville 	AL	31.42167	-85.3365
North Courtland 	AL	34.677186	-87.308365
North Johns 	AL	33.368112	-87.10154
Northport 	AL	33.244111	-87.592149
Notasulga 	AL	32.557554	-85.672449
Oak Grove 	AL	33.186178	-86.302855
Oak Hill 	AL	31.922139	-87.088129
Oakman 	AL	33.712982	-87.38847
Odenville 	AL	33.686021	-86.39837
Ohatchee 	AL	33.784483	-86.01872
Oneonta 	AL	33.951165	-86.470595
Onycha 	AL	31.224328	-86.279091
Opelika 	AL	32.6542	-85.378805
Opp 	AL	31.291399	-86.255997
Orange Beach 	AL	30.284442	-87.590994
Orrville 	AL	32.30832	-87.245408
Owens Crossroads 	AL	34.582017	-86.460163
Oxford 	AL	33.59703	-85.825836
Ozark 	AL	31.439127	-85.648755
Paint Rock 	AL	34.660576	-86.328777
Parrish 	AL	33.733833	-87.280708
Pelham 	AL	33.30328	-86.794051
Pell City 	AL	33.560168	-86.272437
Pennington 	AL	32.196798	-88.052363
Petrey 	AL	31.849064	-86.20727
